"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness","X"
"52","F1","McPh","HSD","Paternal",4,"male",2.65,6.680421539,11.90876012,28.49366522,2.89,16.0062008,NA,NA
"53","F1","McPh","HSD","Paternal",5,"male",2.62,5.918184265,12.5879756,25.36306573,2.3,18.66523409,NA,NA
"54","F1","McPh","HSD","Paternal",6,"male",2.71,7.914453904,12.36236792,24.31786437,2.6,16.54672962,NA,NA
"55","F1","McPh","HSD","Paternal",7,"male",2.61,6.141388367,17.04455369,16.42719148,2.38,15.15056116,NA,NA
"56","F1","McPh","HSD","Paternal",8,"male",2.65,5.694378624,12.17157467,11.26697006,2.41,27.18788679,NA,NA
"57","F1","McPh","HSD","Paternal",9,"male",2.62,5.052280454,18.03697522,12.05990556,2.47,14.93771094,NA,NA
"58","F1","McPh","HSD","Paternal",10,"male",2.56,4.726033835,15.86626273,19.47805655,2.6,2.682449633,NA,NA
"59","F1","McPh","HSD","Paternal",11,"male",2.82,4.718157748,7.355874316,7.612218035,2.85,23.76011751,NA,NA
"60","F1","McPh","HSD","Paternal",12,"male",2.78,6.259162748,13.04221482,13.29004855,2.67,28.15740888,NA,NA
"61","F1","McPh","HSD","Paternal",13,"male",2.57,7.976208365,20.09213194,12.74008053,2.27,27.77929173,NA,NA
"62","F1","McPh","HSD","Paternal",14,"male",2.59,5.569031393,14.66381174,9.806982026,2.58,17.31004012,NA,NA
"63","F1","McPh","HSD","Paternal",15,"male",2.59,6.976573428,17.67684397,15.59820991,2.55,25.38979855,NA,NA
"64","F1","McPh","HSD","Paternal",16,"male",2.51,6.267851726,21.53162744,13.46719334,2.79,14.91316425,NA,NA
"65","F1","McPh","HSD","Paternal",17,"male",2.45,8.597538689,21.441935,16.31859215,2.86,22.38758522,NA,NA
"66","F1","McPh","HSD","Paternal",18,"male",2.7,5.394777477,25.94131068,17.43044386,2.66,25.85080822,NA,NA
"67","F1","McPh","HSD","Paternal",19,"male",2.82,7.333628815,12.79683567,12.37514163,2.54,37.73713727,NA,NA
"68","F1","McPh","HSD","Paternal",20,"male",2.57,6.839226059,17.20931346,13.34496524,2.64,33.38111098,NA,NA
"69","F1","McPh","HSD","Paternal",21,"male",2.57,8.344775365,10.04017488,17.6027465,2.64,35.61553491,NA,NA
"70","F1","McPh","HSD","Paternal",22,"male",2.62,6.845219558,18.24202571,18.4861501,2.58,18.67928885,NA,NA
"71","F1","McPh","HSD","Paternal",23,"male",2.37,6.457809671,8.580446229,12.40400003,2.54,27.15908143,NA,NA
"72","F1","McPh","HSD","Paternal",24,"male",2.48,7.216796623,12.51005523,15.54844983,2.65,16.33253759,NA,NA
"73","F1","MhPh","HSD","Both",1,"male",2.59,14.62296759,3.836755498,19.53849075,2.53,12.45258401,NA,NA
"74","F1","MhPh","HSD","Both",2,"male",2.69,8.527888032,13.99363792,8.768457996,2.59,12.18453345,NA,NA
"75","F1","MhPh","HSD","Both",3,"male",2.64,10.02784717,16.28726237,19.61710588,2.63,15.30351231,NA,NA
"76","F1","MhPh","HSD","Both",4,"male",2.66,6.38002106,5.108771578,15.57208996,2.68,15.10507786,NA,NA
"77","F1","MhPh","HSD","Both",5,"male",2.71,7.209926056,12.54940506,20.3469028,2.75,10.85703879,NA,NA
"78","F1","MhPh","HSD","Both",6,"male",2.79,7.245743034,12.55306402,19.29983875,2.38,9.326269398,NA,NA
"79","F1","MhPh","HSD","Both",7,"male",2.68,7.717252932,17.33932808,16.71151051,2.69,25.67623509,NA,NA
"80","F1","MhPh","HSD","Both",8,"male",2.51,6.079424427,12.57475972,12.15286785,2.72,9.06122498,NA,NA
"81","F1","MhPh","HSD","Both",9,"male",2.69,6.73388099,11.95576948,22.84602598,2.46,12.34854679,NA,NA
"82","F1","MhPh","HSD","Both",10,"male",2.55,5.729166667,1.696235624,11.04543871,2.47,10.84965345,NA,NA
"83","F1","MhPh","HSD","Both",11,"male",2.62,12.88197081,6.420555266,7.88820279,2.63,5.643898793,NA,NA
"84","F1","MhPh","HSD","Both",12,"male",2.62,6.385149045,18.45917818,25.82605402,2.43,15.41525063,NA,NA
"85","F1","MhPh","HSD","Both",13,"male",2.68,8.142456558,27.0203352,19.33223921,2.25,11.55275296,NA,NA
"86","F1","MhPh","HSD","Both",14,"male",2.83,10.06836945,30.5095065,13.61203475,2.72,6.815580953,NA,NA
"87","F1","MhPh","HSD","Both",15,"male",2.67,8.121732371,17.83081393,11.21364234,2.63,14.02758792,NA,NA
"88","F1","MhPh","HSD","Both",16,"male",2.78,9.668545779,28.5372469,20.3838806,2.55,9.749971753,NA,NA
"89","F1","MhPh","HSD","Both",17,"male",2.72,9.481768616,19.91745619,13.22503016,2.44,11.90161665,NA,NA
"90","F1","MhPh","HSD","Both",18,"male",2.64,8.784908401,21.14071143,19.07344648,2.59,6.138026514,NA,NA
"91","F1","MhPh","HSD","Both",19,"male",2.7,8.41022776,10.87846896,13.60484819,2.49,13.54532011,NA,NA
"92","F1","MhPh","HSD","Both",20,"male",2.64,7.418149543,10.89977345,8.502676618,2.38,8.26819532,NA,NA
"93","F1","MhPh","HSD","Both",21,"male",2.55,3.695205186,9.277216262,15.76132656,2.32,10.3139912,NA,NA
"94","F1","MhPh","HSD","Both",22,"male",2.07,3.906206787,7.641692803,17.09114212,2.06,15.31327346,NA,NA
"95","F1","MhPh","HSD","Both",23,"male",2.88,7.782206126,20.99477037,21.19738571,2.75,9.545274102,NA,NA
"96","F1","MhPh","HSD","Both",24,"male",2.76,7.939549812,10.44155726,12.99534841,2.68,17.30797552,NA,NA
"97","F1","McPc","CD","Both",1,"female",3.45,9.185838174,3.146097048,15.39290866,3.9,36.92227621,355,NA
"98","F1","McPc","CD","Both",2,"female",3.77,12.65604364,7.589009017,33.9988095,3.4,20.44184475,328,NA
"99","F1","McPc","CD","Both",3,"female",3.59,13.06812077,5.240907138,24.51029916,3.63,24.57739059,370,NA
"100","F1","McPc","CD","Both",4,"female",3.61,11.18718725,7.807400005,28.92540974,4.06,39.83819821,481,NA
"101","F1","McPc","CD","Both",5,"female",3.85,8.617498748,18.21620566,12.14877175,3.82,26.01099158,245,NA
"102","F1","McPc","CD","Both",6,"female",3.99,10.99636768,21.72721562,28.91642194,3.39,34.13972026,331,NA
"103","F1","McPc","CD","Both",7,"female",4.07,9.019204014,6.490155111,32.58585282,3.85,23.19415653,198,NA
"104","F1","McPc","CD","Both",8,"female",3.83,12.76853096,6.723670726,41.26372979,4.09,26.62059759,362,NA
"105","F1","McPc","CD","Both",9,"female",3.78,11.59716849,7.198662092,21.12970884,3.69,35.66345186,177,NA
"106","F1","McPc","CD","Both",10,"female",3.4,9.946423953,6.134805544,14.01441401,4.12,34.17990725,232,NA
"107","F1","McPc","CD","Both",11,"female",3.88,11.50332065,8.665975869,17.06931066,3.8,36.16819478,285,NA
"108","F1","McPc","CD","Both",12,"female",3.48,11.03351333,11.91028834,24.31421422,3.84,28.25942807,242,NA
"109","F1","McPc","CD","Both",13,"female",3.67,8.255811623,8.595120935,13.63885541,3.89,30.15817026,124,NA
"110","F1","McPc","CD","Both",14,"female",3.74,6.217018019,11.10032304,14.59395858,3.41,43.48420182,108,NA
"111","F1","McPc","CD","Both",15,"female",3.6,9.054761905,13.83103563,22.03761949,3.54,37.80900645,282,NA
"112","F1","McPc","CD","Both",16,"female",3.55,8.353864386,11.94384397,17.94555619,3.97,39.16019524,758,NA
"113","F1","McPc","CD","Both",17,"female",3.54,5.466205464,11.19892595,17.52743843,3.88,42.05578124,264,NA
"114","F1","McPc","CD","Both",18,"female",3.67,5.97519068,8.36771658,16.63704983,3.58,17.62343983,186,NA
"115","F1","McPc","CD","Both",19,"female",3.62,8.416833667,12.8544274,21.04388694,3.76,68.59770975,368,NA
"116","F1","McPc","CD","Both",20,"female",3.77,6.218473896,8.721332036,9.111469477,3.75,34.0294645,339,NA
"117","F1","McPc","CD","Both",21,"female",3.81,8.113590264,16.10275392,34.35034112,3.7,34.25357034,230,NA
"118","F1","McPc","CD","Both",22,"female",3.51,5.938123752,9.42758658,10.81917853,3.52,32.68272041,496,NA
"119","F1","McPc","CD","Both",23,"female",3.92,7.178628512,13.00113392,24.72224593,3.9,29.77995711,242,NA
"120","F1","McPc","CD","Both",24,"female",3.36,5.495244003,12.66566511,10.66418168,3.62,36.79941539,207,NA
"121","F1","McPc","CD","Both",25,"female",NA,NA,NA,NA,NA,NA,464,NA
"122","F1","MhPc","HSD","Maternal",1,"female",3.66,14.73144457,-0.872210366,20.15752508,3.78,49.97769061,180,NA
"123","F1","MhPc","HSD","Maternal",2,"female",3.67,8.970310432,6.917100341,22.47316689,3.86,47.86609564,184,NA
"124","F1","MhPc","HSD","Maternal",3,"female",3.77,9.218620361,2.029491855,8.081840789,3.43,48.5904692,224,NA
"125","F1","MhPc","HSD","Maternal",4,"female",3.68,8.884843401,23.56707968,29.77597426,3.4,48.66342566,212,NA
"126","F1","MhPc","HSD","Maternal",5,"female",3.78,6.701085098,5.529785878,17.85708091,3.54,45.06535327,164,NA
"127","F1","MhPc","HSD","Maternal",6,"female",3.8,8.601386731,13.28102601,17.13931993,3.51,29.24830945,267,NA
"128","F1","MhPc","HSD","Maternal",7,"female",3.9,10.38347865,5.870284455,25.6320087,3.46,41.84310894,194,NA
"129","F1","MhPc","HSD","Maternal",8,"female",3.9,12.28232836,6.969783856,23.4758646,3.64,58.66596197,293,NA
"130","F1","MhPc","HSD","Maternal",9,"female",3.47,9.226279001,7.93589902,10.25977567,3.76,50.01112865,335,NA
"131","F1","MhPc","HSD","Maternal",10,"female",4.02,11.43542099,9.018867748,12.84611491,3.62,54.74820198,210,NA
"132","F1","MhPc","HSD","Maternal",11,"female",3.81,9.496665906,6.399094108,21.04527355,3.37,20.66912972,197,NA
"133","F1","MhPc","HSD","Maternal",12,"female",3.82,11.57869042,7.325686228,26.86953138,3.77,55.56944404,88,NA
"134","F1","MhPc","HSD","Maternal",13,"female",3.86,7.333519047,5.61006001,13.22457411,3.58,42.44780391,344,NA
"135","F1","MhPc","HSD","Maternal",14,"female",3.99,4.710459258,15.82454708,20.38485232,3.51,52.50814741,106,NA
"136","F1","MhPc","HSD","Maternal",15,"female",3.82,3.516719188,13.91367531,17.52504455,3.95,41.14830091,184,NA
"137","F1","MhPc","HSD","Maternal",16,"female",3.55,3.944672131,12.32913175,16.53604924,3.75,46.26681395,423,NA
"138","F1","MhPc","HSD","Maternal",17,"female",3.8,8.861523046,15.36838544,23.22549333,4.08,63.28793434,402,NA
"139","F1","MhPc","HSD","Maternal",18,"female",3.68,2.571541502,13.39287246,18.67133322,3.33,42.85678225,362,NA
"140","F1","MhPc","HSD","Maternal",19,"female",3.96,8.971774194,17.62635884,25.73945688,3.75,42.72097488,118,NA
"141","F1","MhPc","HSD","Maternal",20,"female",3.84,8.651841487,13.39768462,18.63225805,3.88,38.5515813,86,NA
"142","F1","MhPc","HSD","Maternal",21,"female",4.04,6.000958973,11.06177036,14.01939363,3.75,45.59318688,149,NA
"143","F1","MhPc","HSD","Maternal",22,"female",3.68,7.634688274,12.27523614,25.04317144,3.75,39.19566179,87,NA
"144","F1","MhPc","HSD","Maternal",23,"female",4.04,6.908597173,9.232333735,19.44129885,3.85,52.14490454,78,NA
"145","F1","MhPc","HSD","Maternal",24,"female",3.89,9.00307422,16.91149181,35.27465572,4.04,51.73180665,180,NA
"146","F1","MhPc","HSD","Maternal",25,"female",NA,NA,NA,NA,NA,NA,109,NA
"147","F1","McPh","HSD","Paternal",1,"female",3.45,7.412595587,8.232726642,10.65443839,3.58,44.43445212,497,NA
"148","F1","McPh","HSD","Paternal",2,"female",3.8,10.45771831,5.694652709,17.66587181,3.92,52.56870133,552,NA
"149","F1","McPh","HSD","Paternal",3,"female",3.68,8.363864825,6.816653455,17.3698991,3.94,64.23980548,423,NA
"150","F1","McPh","HSD","Paternal",4,"female",3.7,8.875782684,5.792413459,15.46641676,3.66,67.96016598,690,NA
"151","F1","McPh","HSD","Paternal",5,"female",4.05,12.49380767,6.03277144,16.38966463,3.81,45.78401255,267,NA
"152","F1","McPh","HSD","Paternal",6,"female",4.01,11.26215327,9.263555191,10.50862336,3.55,31.81618619,230,NA
"153","F1","McPh","HSD","Paternal",7,"female",3.73,10.35195559,5.516559061,11.86812405,3.67,39.91390581,500,NA
"154","F1","McPh","HSD","Paternal",8,"female",3.67,9.113100774,2.070331179,6.362683362,3.56,22.24277527,271,NA
"155","F1","McPh","HSD","Paternal",9,"female",3.67,6.91303901,2.666767616,6.145488959,3.8,65.62215007,453,NA
"156","F1","McPh","HSD","Paternal",10,"female",3.49,5.603258457,8.303981395,11.58002419,3.62,31.78044459,477,NA
"157","F1","McPh","HSD","Paternal",11,"female",3.56,6.555230102,10.52812585,12.07881442,4,34.11355886,146,NA
"158","F1","McPh","HSD","Paternal",12,"female",3.94,8.728814727,24.31066791,35.70937608,3.6,39.76708736,182,NA
"159","F1","McPh","HSD","Paternal",13,"female",3.63,8.245018865,8.380391911,11.56192399,3.88,42.49234902,167,NA
"160","F1","McPh","HSD","Paternal",14,"female",3.7,7.498494627,12.45800638,10.56177346,4,45.63433815,353,NA
"161","F1","McPh","HSD","Paternal",15,"female",3.55,8.049641013,12.69060844,13.16445587,3.81,45.97455614,563,NA
"162","F1","McPh","HSD","Paternal",16,"female",3.46,5.345416752,6.610418609,7.806003512,3.62,86.10549463,300,NA
"163","F1","McPh","HSD","Paternal",17,"female",3.73,8.77022694,14.54357651,17.03342121,3.67,40.63668752,359,NA
"164","F1","McPh","HSD","Paternal",18,"female",3.64,10.6361829,11.32591946,5.216077773,3.67,47.7097184,138,NA
"165","F1","McPh","HSD","Paternal",19,"female",3.75,10.66512596,13.93587527,17.74266124,3.65,48.63411723,290,NA
"166","F1","McPh","HSD","Paternal",20,"female",3.82,8.858426289,16.08256092,18.77110969,3.5,34.95871083,201,NA
"167","F1","McPh","HSD","Paternal",21,"female",3.64,3.554548272,12.15788131,8.782740533,3.57,67.07202084,197,NA
"168","F1","McPh","HSD","Paternal",22,"female",3.71,8.278562155,9.895678164,21.20864551,3.82,30.00450257,241,NA
"169","F1","McPh","HSD","Paternal",23,"female",3.71,4.670912951,11.32425739,12.90827257,3.82,55.95624161,366,NA
"170","F1","McPh","HSD","Paternal",24,"female",4.01,6.871146146,13.10180917,23.77571422,3.52,40.15454411,313,NA
"171","F1","McPh","HSD","Paternal",25,"female",NA,NA,NA,NA,NA,NA,221,NA
"172","F1","MhPh","HSD","Both",1,"female",3.76,11.84592242,4.092142759,27.69706283,3.78,30.27584661,203,NA
"173","F1","MhPh","HSD","Both",2,"female",3.8,13.18043037,4.585634415,20.32156473,3.64,36.36950242,279,NA
"174","F1","MhPh","HSD","Both",3,"female",3.97,12.69008868,8.912711097,22.37128108,3.86,57.47247497,323,NA
"175","F1","MhPh","HSD","Both",4,"female",3.99,9.405141118,5.870978043,19.55975174,3.58,52.60882847,251,NA
"176","F1","MhPh","HSD","Both",5,"female",3.43,8.263682457,4.274264545,10.87786215,3.6,29.67693065,181,NA
"177","F1","MhPh","HSD","Both",6,"female",3.82,12.69181129,5.123476147,16.13684645,3.72,65.10786102,130,NA
"178","F1","MhPh","HSD","Both",7,"female",3.69,12.73725979,10.3621249,30.13387612,3.68,51.96252465,227,NA
"179","F1","MhPh","HSD","Both",8,"female",3.87,10.13400155,9.758229279,51.51970233,3.77,73.28324973,144,NA
"180","F1","MhPh","HSD","Both",9,"female",4.03,11.73732594,11.68283803,19.72848766,3.87,49.95093206,135,NA
"181","F1","MhPh","HSD","Both",10,"female",3.94,10.34374875,8.767879847,25.82959216,3.79,46.29235028,421,NA
"182","F1","MhPh","HSD","Both",11,"female",3.72,11.49109048,5.278831706,13.55652459,3.51,32.42169296,119,NA
"183","F1","MhPh","HSD","Both",12,"female",3.35,6.663034158,5.667789619,17.25392328,3.72,29.68129655,312,NA
"184","F1","MhPh","HSD","Both",13,"female",3.57,7.691923231,6.918003401,9.829979147,3.78,50.33166738,109,NA
"185","F1","MhPh","HSD","Both",14,"female",3.53,9.747955768,5.803539045,15.05919577,3.58,42.38240909,529,NA
"186","F1","MhPh","HSD","Both",15,"female",3.77,9.808853119,11.95629902,22.33113177,3.87,57.28293134,126,NA
"187","F1","MhPh","HSD","Both",16,"female",3.66,7.478983059,6.853741791,12.61147092,3.87,33.75809437,160,NA
"188","F1","MhPh","HSD","Both",17,"female",3.98,10.61211015,12.71310501,23.89817548,3.54,46.45978794,189,NA
"189","F1","MhPh","HSD","Both",18,"female",4.11,8.818335049,10.47088721,25.18176869,4,45.24187309,120,NA
"190","F1","MhPh","HSD","Both",19,"female",3.62,8.237672099,11.77289734,17.26252743,3.92,46.27950909,133,NA
"191","F1","MhPh","HSD","Both",20,"female",3.93,12.54617303,14.70518699,23.368749,3.98,54.73071846,91,NA
