"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"36","CrossesMcPn",-0.695395733823194,0.408680172802233,-1.70156464664046,0.0901824890072407,"F3","Glucose","NSD","female","Paternal",0.226026997764983," ",0.264791137936154," "
"37","CrossesMnPn",48.4400000000002,36.3482122439789,1.33266526768519,0.185796151498606,"F1","Fitness","NSD","female","Parental",0.371592302997211," ",0.460596447427681," "
"38","CrossesMnPc",47.7600000000002,36.3482122439789,1.31395733246583,0.191991747186258,"F1","Fitness","NSD","female","Maternal",0.375032749291503," ",0.467592767439625," "
"39","CrossesMcPn",63.7600000000001,36.3482122439788,1.75414404350965,0.0825969629749585,"F1","Fitness","NSD","female","Paternal",0.209669213705664," ",0.247790888924876," "
"40","CrossesMnPn",10.2,46.0847125773107,0.221331531207636,0.825304401671259,"F2","Fitness","NSD","female","Parental",0.897858634785216," ",0.999986154515138," "
"41","CrossesMnPc",43.9199999999998,46.0847125773107,0.953027534376407,0.342969593802469,"F2","Fitness","NSD","female","Maternal",0.570655290528479," ",0.704709539151302," "
"42","CrossesMcPn",-13.7200000000001,46.0847125773106,-0.297712608644,0.766565841412259,"F2","Fitness","NSD","female","Paternal",0.875948854118207," ",0.999986154515138," "
"43","CrossesMnPn",-32.8800000000001,37.0443409983226,-0.887584962072585,0.376982395819255,"F3","Fitness","NSD","female","Parental",0.606849710343192," ",0.746749817555846," "
"44","CrossesMnPc",-27.68,37.0443409983226,-0.747212644469864,0.456761486840039,"F3","Fitness","NSD","female","Maternal",0.669916847365391," ",0.836722369698125," "
"45","CrossesMcPn",-8.87999999999998,37.0443409983225,-0.239712726983106,0.811064048716736,"F3","Fitness","NSD","female","Paternal",0.887241335060296," ",0.999986154515138," "
"46","CrossesMnPn",0.0562500000000002,0.0416992173578938,1.34894618086524,0.179012001658895,"F1","Weight","NSD","female","Parental",0.365405941530527," ",0.449157385980499," "
