Generation,Crosses,Treatment,Exposure,Sample,Sex,Sugar.Weight,Glucose ,Trehalose,Glycogen,Fat.Weight,TAG,Fitness
F1,MnPc,NSD,Maternal,1,male,2.66,5.485599373,11.68020583,19.51258395,2.51,35.45234096,NA
F1,MnPc,NSD,Maternal,2,male,2.52,4.183037373,10.02409463,29.45628121,2.15,21.90806065,NA
F1,MnPc,NSD,Maternal,3,male,2.56,8.244929652,12.06935423,21.54316359,2.74,29.41933792,NA
F1,MnPc,NSD,Maternal,4,male,2.54,7.088986919,15.82626017,18.23602665,2.49,33.56680665,NA
F1,MnPc,NSD,Maternal,5,male,2.41,6.423269627,8.82413999,15.99839556,2.63,28.55864748,NA
F1,MnPc,NSD,Maternal,6,male,2.38,6.73273485,9.988628621,12.25145165,2.62,27.35098514,NA
F1,MnPc,NSD,Maternal,7,male,2.5,7.436586023,12.12369771,19.1769355,2.62,35.415473,NA
F1,MnPc,NSD,Maternal,8,male,2.72,8.979711608,11.54092629,15.33885675,2.59,35.84653463,NA
F1,MnPc,NSD,Maternal,9,male,2.47,8.094284188,20.52975195,12.53692607,2.59,31.3280462,NA
F1,MnPc,NSD,Maternal,10,male,2.64,5.755301901,8.079339067,7.502124098,2.51,24.75186455,NA
F1,MnPc,NSD,Maternal,11,male,2.67,7.4511563,25.48427977,23.16666736,2.7,61.0910474,NA
F1,MnPc,NSD,Maternal,12,male,2.71,7.104955849,20.95112225,24.28260647,2.39,43.43759195,NA
F1,MnPc,NSD,Maternal,13,male,2.61,7.197807622,7.65182448,11.86317711,2.41,60.40033725,NA
F1,MnPc,NSD,Maternal,14,male,2.57,6.413756357,14.08170908,10.89916881,2.44,72.41051712,NA
F1,MnPc,NSD,Maternal,15,male,2.69,7.353193229,14.43935996,10.36222627,2.76,42.12108884,NA
F1,MnPc,NSD,Maternal,16,male,2.43,7.903091939,12.16765459,12.83504212,2.56,47.54446026,NA
F1,MnPc,NSD,Maternal,17,male,2.65,8.945430247,16.9632577,20.5799776,2.36,26.56485349,NA
F1,MnPc,NSD,Maternal,18,male,2.51,8.605446081,17.5139569,10.35071221,2.58,56.14432376,NA
F1,MnPc,NSD,Maternal,19,male,2.43,7.452333743,15.62332415,10.71687569,2.65,78.74848599,NA
F1,MnPc,NSD,Maternal,20,male,2.56,15.30463961,22.42636655,19.43410684,2.57,28.50596682,NA
F1,MnPc,NSD,Maternal,21,male,2.5,5.885850927,15.75286649,12.5688727,2.72,37.17977603,NA
F1,MnPc,NSD,Maternal,22,male,2.65,6.975036047,18.56389404,11.51572564,2.7,57.86026458,NA
F1,MnPc,NSD,Maternal,23,male,2.46,6.91224024,25.32338567,16.30045258,2.51,38.30204767,NA
F1,MnPc,NSD,Maternal,24,male,2.65,5.66786984,33.63354453,21.35297616,2.51,35.9481392,NA
F1,McPn,NSD,Paternal,1,male,2.56,6.682442823,12.67653544,23.49936466,2.68,76.95170207,NA
